***************************************** BIN PACKING SOLUTION *****************************************
Parameters: alpha_1=0.5 alpha_2=0.5 t=0.2 s=1
-------------------------------------------------------------------------------------------------------------------------------------------------
INSTANCE 	 # OF BINS 	 SCHEDULING OBJECTIVE 	 BEST OBJECTIVE 	 RUNNING TIME
-------------------------------------------------------------------------------------------------------------------------------------------------
BPP_new_20_1000_1.C	13	4.000	8.500	0.054
BPP_new_20_1000_1.C	13	4.000	8.500	0.057
BPP_new_20_1000_1.C	13	4.000	8.500	0.052
BPP_new_20_1000_1.C	13	4.000	8.500	0.054
BPP_new_20_1000_1.C	13	4.000	8.500	0.057
BPP_new_20_1000_1.C	13	4.000	8.500	0.053
BPP_new_20_1000_1.C	13	4.000	8.500	0.059
BPP_new_20_1000_1.C	13	4.000	8.500	0.051
BPP_new_20_1000_1.C	13	4.000	8.500	0.057
BPP_new_20_1000_1.C	13	4.000	8.500	0.056
BPP_new_20_1000_10.C	9	1.000	5.000	0.036
BPP_new_20_1000_10.C	9	1.000	5.000	0.035
BPP_new_20_1000_10.C	9	1.000	5.000	0.037
BPP_new_20_1000_10.C	9	1.000	5.000	0.036
BPP_new_20_1000_10.C	9	1.000	5.000	0.036
BPP_new_20_1000_10.C	9	1.000	5.000	0.035
BPP_new_20_1000_10.C	9	1.000	5.000	0.035
BPP_new_20_1000_10.C	9	1.000	5.000	0.037
BPP_new_20_1000_10.C	9	1.000	5.000	0.035
BPP_new_20_1000_10.C	9	1.000	5.000	0.033
BPP_new_20_1000_2.C	10	3.000	6.500	0.040
BPP_new_20_1000_2.C	10	3.000	6.500	0.043
BPP_new_20_1000_2.C	10	3.000	6.500	0.043
BPP_new_20_1000_2.C	10	3.000	6.500	0.042
BPP_new_20_1000_2.C	10	3.000	6.500	0.041
BPP_new_20_1000_2.C	10	3.000	6.500	0.041
BPP_new_20_1000_2.C	10	3.000	6.500	0.042
BPP_new_20_1000_2.C	10	3.000	6.500	0.042
BPP_new_20_1000_2.C	10	3.000	6.500	0.041
BPP_new_20_1000_2.C	10	3.000	6.500	0.043
BPP_new_20_1000_3.C	13	5.000	9.000	0.050
BPP_new_20_1000_3.C	13	5.000	9.000	0.050
BPP_new_20_1000_3.C	13	5.000	9.000	0.048
BPP_new_20_1000_3.C	13	5.000	9.000	0.048
BPP_new_20_1000_3.C	13	5.000	9.000	0.049
BPP_new_20_1000_3.C	13	5.000	9.000	0.048
BPP_new_20_1000_3.C	13	5.000	9.000	0.048
BPP_new_20_1000_3.C	13	5.000	9.000	0.047
BPP_new_20_1000_3.C	13	5.000	9.000	0.049
BPP_new_20_1000_3.C	13	5.000	9.000	0.048
BPP_new_20_1000_4.C	8	2.400	5.200	0.036
BPP_new_20_1000_4.C	8	2.400	5.200	0.036
BPP_new_20_1000_4.C	8	2.400	5.200	0.036
BPP_new_20_1000_4.C	8	2.400	5.200	0.036
BPP_new_20_1000_4.C	8	2.400	5.200	0.036
BPP_new_20_1000_4.C	8	2.400	5.200	0.036
BPP_new_20_1000_4.C	8	2.400	5.200	0.036
BPP_new_20_1000_4.C	8	2.400	5.200	0.036
BPP_new_20_1000_4.C	8	2.400	5.200	0.036
BPP_new_20_1000_4.C	8	2.400	5.200	0.036
BPP_new_20_1000_5.C	10	1.400	5.700	0.041
BPP_new_20_1000_5.C	10	1.400	5.700	0.042
BPP_new_20_1000_5.C	10	1.400	5.700	0.041
BPP_new_20_1000_5.C	10	1.400	5.700	0.042
BPP_new_20_1000_5.C	10	1.400	5.700	0.041
BPP_new_20_1000_5.C	10	1.400	5.700	0.041
BPP_new_20_1000_5.C	10	1.400	5.700	0.041
BPP_new_20_1000_5.C	10	1.400	5.700	0.041
BPP_new_20_1000_5.C	10	1.400	5.700	0.042
BPP_new_20_1000_5.C	10	1.400	5.700	0.041
BPP_new_20_1000_6.C	10	1.400	5.700	0.043
BPP_new_20_1000_6.C	10	1.400	5.700	0.042
BPP_new_20_1000_6.C	10	1.400	5.700	0.042
BPP_new_20_1000_6.C	10	1.400	5.700	0.041
BPP_new_20_1000_6.C	10	1.400	5.700	0.048
BPP_new_20_1000_6.C	10	1.400	5.700	0.041
BPP_new_20_1000_6.C	10	1.400	5.700	0.042
BPP_new_20_1000_6.C	10	1.400	5.700	0.042
BPP_new_20_1000_6.C	10	1.400	5.700	0.042
BPP_new_20_1000_6.C	10	1.400	5.700	0.041
BPP_new_20_1000_7.C	10	1.000	5.500	0.039
BPP_new_20_1000_7.C	10	1.000	5.500	0.039
BPP_new_20_1000_7.C	10	1.000	5.500	0.040
BPP_new_20_1000_7.C	10	1.000	5.500	0.040
BPP_new_20_1000_7.C	10	1.000	5.500	0.040
BPP_new_20_1000_7.C	10	1.000	5.500	0.040
BPP_new_20_1000_7.C	10	1.000	5.500	0.040
BPP_new_20_1000_7.C	10	1.000	5.500	0.039
BPP_new_20_1000_7.C	10	1.000	5.500	0.041
BPP_new_20_1000_7.C	10	1.000	5.500	0.040
BPP_new_20_1000_8.C	9	3.000	6.000	0.037
BPP_new_20_1000_8.C	9	3.000	6.000	0.037
BPP_new_20_1000_8.C	9	3.000	6.000	0.037
BPP_new_20_1000_8.C	9	3.000	6.000	0.037
BPP_new_20_1000_8.C	9	3.000	6.000	0.037
BPP_new_20_1000_8.C	9	3.000	6.000	0.038
BPP_new_20_1000_8.C	9	3.000	6.000	0.038
BPP_new_20_1000_8.C	9	3.000	6.000	0.038
BPP_new_20_1000_8.C	9	3.000	6.000	0.037
BPP_new_20_1000_8.C	9	3.000	6.000	0.037
BPP_new_20_1000_9.C	13	3.000	8.000	0.051
BPP_new_20_1000_9.C	13	3.000	8.000	0.052
BPP_new_20_1000_9.C	13	3.000	8.000	0.050
BPP_new_20_1000_9.C	13	3.000	8.000	0.049
BPP_new_20_1000_9.C	13	3.000	8.000	0.049
BPP_new_20_1000_9.C	13	3.000	8.000	0.050
BPP_new_20_1000_9.C	13	3.000	8.000	0.049
BPP_new_20_1000_9.C	13	3.000	8.000	0.049
BPP_new_20_1000_9.C	13	3.000	8.000	0.049
BPP_new_20_1000_9.C	13	3.000	8.000	0.050
BPP_new_20_100_1.C	11	3.600	7.300	0.004
BPP_new_20_100_1.C	11	3.600	7.300	0.004
