***************************************** BIN PACKING SOLUTION *****************************************
Parameters: alpha_1=0.6 alpha_2=0.4 t=0.2 s=1
-------------------------------------------------------------------------------------------------------------------------------------------------
INSTANCE 	 # OF BINS 	 SCHEDULING OBJECTIVE 	 BEST OBJECTIVE 	 RUNNING TIME
-------------------------------------------------------------------------------------------------------------------------------------------------
BPP_new_20_1000_1.C	13	4.000	9.400	0.000
BPP_new_20_1000_10.C	9	1.000	5.800	0.000
BPP_new_20_1000_2.C	11	3.400	7.960	0.000
BPP_new_20_1000_3.C	13	5.000	9.800	0.000
BPP_new_20_1000_4.C	8	2.400	5.760	0.000
BPP_new_20_1000_5.C	11	2.400	7.560	0.000
BPP_new_20_1000_6.C	11	2.000	7.400	0.000
BPP_new_20_1000_7.C	10	1.000	6.400	0.000
BPP_new_20_1000_8.C	11	5.000	8.600	0.000
BPP_new_20_1000_9.C	14	4.000	10.000	0.000
BPP_new_20_100_1.C	12	4.600	9.040	0.000
BPP_new_20_100_10.C	9	2.400	6.360	0.000
BPP_new_20_100_2.C	13	3.000	9.000	0.000
BPP_new_20_100_3.C	8	0.200	4.880	0.000
BPP_new_20_100_4.C	11	3.400	7.960	0.000
BPP_new_20_100_5.C	12	3.400	8.560	0.000
BPP_new_20_100_6.C	9	2.400	6.360	0.000
BPP_new_20_100_7.C	9	1.800	6.120	0.000
BPP_new_20_100_8.C	12	3.400	8.560	0.000
BPP_new_20_100_9.C	14	3.000	9.600	0.000
BPP_new_20_120_1.C	10	2.600	7.040	0.000
BPP_new_20_120_10.C	15	4.200	10.680	0.000
BPP_new_20_120_2.C	11	3.000	7.800	0.000
BPP_new_20_120_3.C	12	5.000	9.200	0.000
BPP_new_20_120_4.C	12	3.000	8.400	0.000
BPP_new_20_120_5.C	11	2.000	7.400	0.000
BPP_new_20_120_6.C	9	0.800	5.720	0.000
BPP_new_20_120_7.C	11	1.000	7.000	0.000
BPP_new_20_120_8.C	11	5.000	8.600	0.000
BPP_new_20_120_9.C	14	3.000	9.600	0.000
BPP_new_20_125_1.C	12	5.200	9.280	0.000
BPP_new_20_125_10.C	10	1.000	6.400	0.000
BPP_new_20_125_2.C	8	2.800	5.920	0.000
BPP_new_20_125_3.C	10	1.000	6.400	0.000
BPP_new_20_125_4.C	12	3.000	8.400	0.000
BPP_new_20_125_5.C	13	4.000	9.400	0.000
BPP_new_20_125_6.C	11	4.600	8.440	0.000
BPP_new_20_125_7.C	12	5.000	9.200	0.000
BPP_new_20_125_8.C	10	4.200	7.680	0.000
BPP_new_20_125_9.C	11	2.200	7.480	0.000
BPP_new_20_150_1.C	9	0.400	5.560	0.000
BPP_new_20_150_10.C	10	1.800	6.720	0.000
BPP_new_20_150_2.C	11	2.000	7.400	0.000
BPP_new_20_150_3.C	10	3.000	7.200	0.000
BPP_new_20_150_4.C	9	2.800	6.520	0.000
BPP_new_20_150_5.C	12	2.000	8.000	0.000
BPP_new_20_150_6.C	10	4.000	7.600	0.000
BPP_new_20_150_7.C	13	2.000	8.600	0.000
BPP_new_20_150_8.C	9	3.600	6.840	0.000
BPP_new_20_150_9.C	15	4.000	10.600	0.000
BPP_new_20_200_1.C	8	3.000	6.000	0.000
BPP_new_20_200_10.C	12	5.000	9.200	0.000
BPP_new_20_200_2.C	12	4.800	9.120	0.000
BPP_new_20_200_3.C	14	3.000	9.600	0.000
BPP_new_20_200_4.C	10	4.000	7.600	0.000
BPP_new_20_200_5.C	11	4.200	8.280	0.000
BPP_new_20_200_6.C	8	3.400	6.160	0.000
BPP_new_20_200_7.C	12	3.400	8.560	0.000
BPP_new_20_200_8.C	11	2.600	7.640	0.000
BPP_new_20_200_9.C	10	2.000	6.800	0.000
BPP_new_20_300_1.C	8	2.800	5.920	0.000
BPP_new_20_300_10.C	11	2.800	7.720	0.000
BPP_new_20_300_2.C	11	2.200	7.480	0.000
BPP_new_20_300_3.C	14	5.800	10.720	0.000
BPP_new_20_300_4.C	10	1.400	6.560	0.000
BPP_new_20_300_5.C	9	3.000	6.600	0.000
BPP_new_20_300_6.C	10	3.000	7.200	0.000
BPP_new_20_300_7.C	12	2.800	8.320	0.000
BPP_new_20_300_8.C	9	2.000	6.200	0.000
BPP_new_20_300_9.C	10	2.600	7.040	0.000
BPP_new_20_400_1.C	11	3.400	7.960	0.000
BPP_new_20_400_10.C	11	2.400	7.560	0.000
BPP_new_20_400_2.C	12	3.000	8.400	0.000
BPP_new_20_400_3.C	9	1.800	6.120	0.000
BPP_new_20_400_4.C	9	2.800	6.520	0.000
BPP_new_20_400_5.C	11	3.800	8.120	0.000
BPP_new_20_400_6.C	10	3.800	7.520	0.000
BPP_new_20_400_7.C	9	1.000	5.800	0.000
BPP_new_20_400_8.C	12	4.800	9.120	0.000
BPP_new_20_400_9.C	10	4.600	7.840	0.000
BPP_new_20_500_1.C	9	1.000	5.800	0.000
BPP_new_20_500_10.C	8	1.800	5.520	0.000
BPP_new_20_500_2.C	10	2.000	6.800	0.000
BPP_new_20_500_3.C	11	5.200	8.680	0.000
BPP_new_20_500_4.C	12	2.600	8.240	0.000
BPP_new_20_500_5.C	9	1.000	5.800	0.000
BPP_new_20_500_6.C	11	2.000	7.400	0.000
BPP_new_20_500_7.C	13	2.800	8.920	0.000
BPP_new_20_500_8.C	13	3.000	9.000	0.000
BPP_new_20_500_9.C	11	2.400	7.560	0.000
BPP_new_20_50_1.C	13	2.800	8.920	0.000
BPP_new_20_50_10.C	13	3.000	9.000	0.000
BPP_new_20_50_2.C	10	2.200	6.880	0.000
BPP_new_20_50_3.C	9	3.600	6.840	0.000
BPP_new_20_50_4.C	15	4.400	10.760	0.000
BPP_new_20_50_5.C	9	2.000	6.200	0.000
BPP_new_20_50_6.C	10	3.600	7.440	0.000
BPP_new_20_50_7.C	12	3.800	8.720	0.000
BPP_new_20_50_8.C	12	1.000	7.600	0.000
BPP_new_20_50_9.C	9	3.200	6.680	0.000
BPP_new_20_750_1.C	10	2.800	7.120	0.000
BPP_new_20_750_10.C	12	6.000	9.600	0.000
BPP_new_20_750_2.C	9	1.800	6.120	0.000
BPP_new_20_750_3.C	10	1.000	6.400	0.000
BPP_new_20_750_4.C	10	2.000	6.800	0.000
BPP_new_20_750_5.C	12	4.600	9.040	0.000
BPP_new_20_750_6.C	11	1.000	7.000	0.000
BPP_new_20_750_7.C	12	2.200	8.080	0.000
BPP_new_20_750_8.C	10	1.200	6.480	0.000
BPP_new_20_750_9.C	11	3.800	8.120	0.000
BPP_new_20_75_1.C	12	2.000	8.000	0.000
BPP_new_20_75_10.C	9	5.800	7.720	0.000
BPP_new_20_75_2.C	12	3.000	8.400	0.000
BPP_new_20_75_3.C	11	3.600	8.040	0.000
BPP_new_20_75_4.C	11	4.000	8.200	0.000
BPP_new_20_75_5.C	11	6.200	9.080	0.000
BPP_new_20_75_6.C	7	2.800	5.320	0.000
BPP_new_20_75_7.C	9	2.000	6.200	0.000
BPP_new_20_75_8.C	8	3.000	6.000	0.000
