***************************************** BIN PACKING SOLUTION *****************************************
Parameters: alpha_1=0.6 alpha_2=0.4 t=0.2 s=1
-------------------------------------------------------------------------------------------------------------------------------------------------
INSTANCE 	 # OF BINS 	 SCHEDULING OBJECTIVE 	 BEST OBJECTIVE 	 RUNNING TIME
-------------------------------------------------------------------------------------------------------------------------------------------------
BPP_new_20_1000_1.C	13	4.000	9.400	0.011
BPP_new_20_1000_1.C	13	4.000	9.400	0.011
BPP_new_20_1000_1.C	13	4.000	9.400	0.011
BPP_new_20_1000_1.C	13	4.000	9.400	0.011
BPP_new_20_1000_1.C	13	4.000	9.400	0.011
BPP_new_20_1000_1.C	13	4.000	9.400	0.011
BPP_new_20_1000_1.C	13	4.000	9.400	0.011
BPP_new_20_1000_1.C	13	4.000	9.400	0.011
BPP_new_20_1000_1.C	13	4.000	9.400	0.012
BPP_new_20_1000_1.C	13	4.000	9.400	0.011
BPP_new_20_1000_10.C	9	1.000	5.800	0.009
BPP_new_20_1000_10.C	9	1.000	5.800	0.010
BPP_new_20_1000_10.C	9	1.000	5.800	0.010
BPP_new_20_1000_10.C	9	1.000	5.800	0.010
BPP_new_20_1000_10.C	9	1.000	5.800	0.010
BPP_new_20_1000_10.C	9	1.000	5.800	0.010
BPP_new_20_1000_10.C	9	1.000	5.800	0.010
BPP_new_20_1000_10.C	9	1.000	5.800	0.010
BPP_new_20_1000_10.C	9	1.000	5.800	0.010
BPP_new_20_1000_10.C	9	1.000	5.800	0.010
BPP_new_20_1000_2.C	10	4.200	7.680	0.018
BPP_new_20_1000_2.C	10	4.000	7.600	0.021
BPP_new_20_1000_2.C	10	3.800	7.520	0.014
BPP_new_20_1000_2.C	10	4.200	7.680	0.023
BPP_new_20_1000_2.C	10	3.800	7.520	0.019
BPP_new_20_1000_2.C	10	3.800	7.520	0.025
BPP_new_20_1000_2.C	10	3.800	7.520	0.018
BPP_new_20_1000_2.C	10	3.800	7.520	0.019
BPP_new_20_1000_2.C	10	4.200	7.680	0.018
BPP_new_20_1000_2.C	10	4.200	7.680	0.018
BPP_new_20_1000_3.C	13	5.000	9.800	0.011
BPP_new_20_1000_3.C	13	5.000	9.800	0.011
BPP_new_20_1000_3.C	13	5.000	9.800	0.011
BPP_new_20_1000_3.C	13	5.000	9.800	0.011
BPP_new_20_1000_3.C	13	5.000	9.800	0.011
BPP_new_20_1000_3.C	13	5.000	9.800	0.011
BPP_new_20_1000_3.C	13	5.000	9.800	0.011
BPP_new_20_1000_3.C	13	5.000	9.800	0.011
BPP_new_20_1000_3.C	13	5.000	9.800	0.011
BPP_new_20_1000_3.C	13	5.000	9.800	0.011
BPP_new_20_1000_4.C	8	2.400	5.760	0.009
BPP_new_20_1000_4.C	8	2.400	5.760	0.009
BPP_new_20_1000_4.C	8	2.400	5.760	0.009
BPP_new_20_1000_4.C	8	2.400	5.760	0.009
BPP_new_20_1000_4.C	8	2.400	5.760	0.009
BPP_new_20_1000_4.C	8	2.400	5.760	0.009
BPP_new_20_1000_4.C	8	2.400	5.760	0.009
BPP_new_20_1000_4.C	8	2.400	5.760	0.009
BPP_new_20_1000_4.C	8	2.400	5.760	0.009
BPP_new_20_1000_4.C	8	2.400	5.760	0.010
BPP_new_20_1000_5.C	10	1.400	6.560	0.011
BPP_new_20_1000_5.C	10	2.000	6.800	0.011
BPP_new_20_1000_5.C	10	1.800	6.720	0.011
BPP_new_20_1000_5.C	10	1.800	6.720	0.011
BPP_new_20_1000_5.C	10	1.800	6.720	0.011
BPP_new_20_1000_5.C	10	2.200	6.880	0.011
BPP_new_20_1000_5.C	10	2.800	7.120	0.012
BPP_new_20_1000_5.C	10	2.000	6.800	0.011
BPP_new_20_1000_5.C	10	2.000	6.800	0.011
BPP_new_20_1000_5.C	10	1.800	6.720	0.011
BPP_new_20_1000_6.C	11	1.800	7.320	0.010
BPP_new_20_1000_6.C	10	1.400	6.560	0.010
BPP_new_20_1000_6.C	11	1.800	7.320	0.010
BPP_new_20_1000_6.C	10	1.800	6.720	0.010
