***************************************** BIN PACKING SOLUTION *****************************************
Parameters: alpha_1=0.6 alpha_2=0.4 t=0.2 s=1
-------------------------------------------------------------------------------------------------------------------------------------------------
INSTANCE 	 # OF BINS 	 SCHEDULING OBJECTIVE 	 BEST OBJECTIVE 	 RUNNING TIME
-------------------------------------------------------------------------------------------------------------------------------------------------
BPP_new_20_1000_1.C	13	4.000	9.400	0.050
BPP_new_20_1000_1.C	13	4.000	9.400	0.050
BPP_new_20_1000_1.C	13	4.000	9.400	0.051
BPP_new_20_1000_1.C	13	4.000	9.400	0.049
BPP_new_20_1000_1.C	13	4.000	9.400	0.049
BPP_new_20_1000_1.C	13	4.000	9.400	0.051
BPP_new_20_1000_1.C	13	4.000	9.400	0.051
BPP_new_20_1000_1.C	13	4.000	9.400	0.052
BPP_new_20_1000_1.C	13	4.000	9.400	0.051
BPP_new_20_1000_1.C	13	4.000	9.400	0.050
BPP_new_20_1000_10.C	9	1.000	5.800	0.034
BPP_new_20_1000_10.C	9	1.000	5.800	0.033
BPP_new_20_1000_10.C	9	1.000	5.800	0.034
BPP_new_20_1000_10.C	9	1.000	5.800	0.034
BPP_new_20_1000_10.C	9	1.000	5.800	0.034
BPP_new_20_1000_10.C	9	1.000	5.800	0.035
BPP_new_20_1000_10.C	9	1.000	5.800	0.034
BPP_new_20_1000_10.C	9	1.000	5.800	0.034
BPP_new_20_1000_10.C	9	1.000	5.800	0.034
BPP_new_20_1000_10.C	9	1.000	5.800	0.034
BPP_new_20_1000_2.C	10	3.000	7.200	0.040
BPP_new_20_1000_2.C	10	3.000	7.200	0.055
BPP_new_20_1000_2.C	10	3.000	7.200	0.091
BPP_new_20_1000_2.C	10	3.000	7.200	0.100
BPP_new_20_1000_2.C	10	3.000	7.200	0.111
BPP_new_20_1000_2.C	10	3.000	7.200	0.092
BPP_new_20_1000_2.C	10	3.000	7.200	0.087
BPP_new_20_1000_2.C	10	3.000	7.200	0.090
BPP_new_20_1000_2.C	10	3.000	7.200	0.094
BPP_new_20_1000_2.C	10	3.000	7.200	0.084
